id,title,difficulty,level,topic,platform,statement,description,input_format,output_format,constraints,sample_input,sample_output,sample_explanation,time_limit_ms,memory_limit_mb,submissions,acceptance_rate,updated_at,kind,family
P00019,Max Subarray Sum (Window 5) - Easy #19,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 8 integers, find the maximum sum of any subarray of size 5.",Practice array manipulation: find subarray.,First line: n = 8. Second line: 8 space-separated integers.,Print the maximum subarray sum.,"1 <= n <= 100
1 <= array elements <= 1000","7 5
54 7 73 83 31 13 39",248,Scan all subarrays of size 5. (problem P00019),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00020,Swap Elements in Array - Easy #20,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 9 integers, swap elements at indices 2 and 4 and print the result.",Practice array manipulation: two pointer approach.,First line: n = 9. Second line: 9 space-separated integers.,Print the array after swapping.,"1 <= n <= 100
1 <= array elements <= 1000","11
82 43 53 39 26 99 16 64 23 35 81",82 43 53 39 26 64 16 99 23 35 81,Swap values at indices 5 and 7. (problem P00020),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00021,Find Maximum in Array - Easy #21,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 10 integers, find and print the maximum element.",Practice array manipulation: find maximum.,First line: n = 10. Second line: 10 space-separated integers.,Print the maximum value in the array.,"1 <= n <= 100
1 <= array elements <= 1000","8
61 18 54 7 52 58 5 15",61,"The maximum value in [61, 18, 54, 7, 52, 58, 5, 15] is 61. (problem P00021)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00022,Find Minimum in Array - Easy #22,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 11 integers, find and print the minimum element.",Practice array manipulation: find minimum.,First line: n = 11. Second line: 11 space-separated integers.,Print the minimum value in the array.,"1 <= n <= 100
1 <= array elements <= 1000","9
64 67 49 95 67 88 82 46 96",46,"The minimum value in [64, 67, 49, 95, 67, 88, 82, 46, 96] is 46. (problem P00022)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00023,Sum of Array Elements - Easy #23,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 12 integers, calculate and print the total sum.",Practice array manipulation: calculate sum.,First line: n = 12. Second line: 12 space-separated integers.,Print the sum of all array elements.,"1 <= n <= 100
1 <= array elements <= 1000","9
14 88 75 53 74 56 77 2 16",455,Add all elements: 455. (problem P00023),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00024,Reverse an Array - Easy #24,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 5 integers, print the array in reverse order.",Practice array manipulation: reverse array.,First line: n = 5. Second line: 5 space-separated integers.,Print the reversed array separated by spaces.,"1 <= n <= 100
1 <= array elements <= 1000","10
28 49 35 93 46 53 46 95 86 83",83 86 95 46 53 46 93 35 49 28,Reverse the order of the elements. (problem P00024),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00025,Rotate Array by 2 - Easy #25,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 6 integers, rotate it by 2 positions to the right.",Practice array manipulation: rotate array.,First line: n = 6. Second line: 6 space-separated integers.,Print the rotated array separated by spaces.,"1 <= n <= 100
1 <= array elements <= 1000","8 4
56 70 59 44 12 15 23 71",12 15 23 71 56 70 59 44,Rotate the array right by 4. (problem P00025),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00026,Max Subarray Sum (Window 4) - Easy #26,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 7 integers, find the maximum sum of any subarray of size 4.",Practice array manipulation: find subarray.,First line: n = 7. Second line: 7 space-separated integers.,Print the maximum subarray sum.,"1 <= n <= 100
1 <= array elements <= 1000","10 2
66 52 88 69 84 3 29 9 50 73",157,Scan all subarrays of size 2. (problem P00026),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00027,Swap Elements in Array - Easy #27,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 8 integers, swap elements at indices 3 and 6 and print the result.",Practice array manipulation: two pointer approach.,First line: n = 8. Second line: 8 space-separated integers.,Print the array after swapping.,"1 <= n <= 100
1 <= array elements <= 1000","9
73 99 33 5 18 26 94 96 63",73 63 33 5 18 26 94 96 99,Swap values at indices 1 and 8. (problem P00027),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00028,Find Maximum in Array - Easy #28,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 9 integers, find and print the maximum element.",Practice array manipulation: find maximum.,First line: n = 9. Second line: 9 space-separated integers.,Print the maximum value in the array.,"1 <= n <= 100
1 <= array elements <= 1000","8
70 15 45 91 39 72 95 30",95,"The maximum value in [70, 15, 45, 91, 39, 72, 95, 30] is 95. (problem P00028)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00029,Find Minimum in Array - Easy #29,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 10 integers, find and print the minimum element.",Practice array manipulation: find minimum.,First line: n = 10. Second line: 10 space-separated integers.,Print the minimum value in the array.,"1 <= n <= 100
1 <= array elements <= 1000","7
36 24 57 14 9 75 22",9,"The minimum value in [36, 24, 57, 14, 9, 75, 22] is 9. (problem P00029)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00030,Sum of Array Elements - Easy #30,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 11 integers, calculate and print the total sum.",Practice array manipulation: calculate sum.,First line: n = 11. Second line: 11 space-separated integers.,Print the sum of all array elements.,"1 <= n <= 100
1 <= array elements <= 1000","9
91 65 56 26 22 94 14 3 50",421,Add all elements: 421. (problem P00030),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00031,Reverse an Array - Easy #31,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 12 integers, print the array in reverse order.",Practice array manipulation: reverse array.,First line: n = 12. Second line: 12 space-separated integers.,Print the reversed array separated by spaces.,"1 <= n <= 100
1 <= array elements <= 1000","12
35 97 78 8 81 20 69 14 74 51 88 19",19 88 51 74 14 69 20 81 8 78 97 35,Reverse the order of the elements. (problem P00031),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00032,Rotate Array by 3 - Easy #32,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 5 integers, rotate it by 3 positions to the right.",Practice array manipulation: rotate array.,First line: n = 5. Second line: 5 space-separated integers.,Print the rotated array separated by spaces.,"1 <= n <= 100
1 <= array elements <= 1000","7 3
8 15 89 94 53 93 28",53 93 28 8 15 89 94,Rotate the array right by 3. (problem P00032),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00033,Max Subarray Sum (Window 3) - Easy #33,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 6 integers, find the maximum sum of any subarray of size 3.",Practice array manipulation: find subarray.,First line: n = 6. Second line: 6 space-separated integers.,Print the maximum subarray sum.,"1 <= n <= 100
1 <= array elements <= 1000","11 2
12 59 54 34 75 58 25 18 61 61 77",138,Scan all subarrays of size 2. (problem P00033),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00034,Swap Elements in Array - Easy #34,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 7 integers, swap elements at indices 6 and 5 and print the result.",Practice array manipulation: two pointer approach.,First line: n = 7. Second line: 7 space-separated integers.,Print the array after swapping.,"1 <= n <= 100
1 <= array elements <= 1000","9
48 9 61 1 71 4 2 87 52",48 9 61 1 71 4 2 52 87,Swap values at indices 7 and 8. (problem P00034),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00035,Find Maximum in Array - Easy #35,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 8 integers, find and print the maximum element.",Practice array manipulation: find maximum.,First line: n = 8. Second line: 8 space-separated integers.,Print the maximum value in the array.,"1 <= n <= 100
1 <= array elements <= 1000","10
82 37 61 15 42 10 80 79 96 53",96,"The maximum value in [82, 37, 61, 15, 42, 10, 80, 79, 96, 53] is 96. (problem P00035)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00036,Find Minimum in Array - Easy #36,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 9 integers, find and print the minimum element.",Practice array manipulation: find minimum.,First line: n = 9. Second line: 9 space-separated integers.,Print the minimum value in the array.,"1 <= n <= 100
1 <= array elements <= 1000","10
80 57 68 93 95 21 68 58 3 70",3,"The minimum value in [80, 57, 68, 93, 95, 21, 68, 58, 3, 70] is 3. (problem P00036)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00037,Sum of Array Elements - Easy #37,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 10 integers, calculate and print the total sum.",Practice array manipulation: calculate sum.,First line: n = 10. Second line: 10 space-separated integers.,Print the sum of all array elements.,"1 <= n <= 100
1 <= array elements <= 1000","7
23 66 48 98 14 30 9",288,Add all elements: 288. (problem P00037),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00038,Reverse an Array - Easy #38,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 11 integers, print the array in reverse order.",Practice array manipulation: reverse array.,First line: n = 11. Second line: 11 space-separated integers.,Print the reversed array separated by spaces.,"1 <= n <= 100
1 <= array elements <= 1000","9
85 95 12 59 62 85 77 42 99",99 42 77 85 62 59 12 95 85,Reverse the order of the elements. (problem P00038),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00039,Rotate Array by 1 - Easy #39,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 12 integers, rotate it by 1 positions to the right.",Practice array manipulation: rotate array.,First line: n = 12. Second line: 12 space-separated integers.,Print the rotated array separated by spaces.,"1 <= n <= 100
1 <= array elements <= 1000","9 5
12 27 89 24 11 30 5 49 22",11 30 5 49 22 12 27 89 24,Rotate the array right by 5. (problem P00039),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00040,Max Subarray Sum (Window 2) - Easy #40,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 5 integers, find the maximum sum of any subarray of size 2.",Practice array manipulation: find subarray.,First line: n = 5. Second line: 5 space-separated integers.,Print the maximum subarray sum.,"1 <= n <= 100
1 <= array elements <= 1000","6 4
38 25 49 7 55 57",168,Scan all subarrays of size 4. (problem P00040),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00041,Swap Elements in Array - Easy #41,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 6 integers, swap elements at indices 5 and 4 and print the result.",Practice array manipulation: two pointer approach.,First line: n = 6. Second line: 6 space-separated integers.,Print the array after swapping.,"1 <= n <= 100
1 <= array elements <= 1000","6
65 26 75 5 72 62",65 72 75 5 26 62,Swap values at indices 1 and 4. (problem P00041),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00042,Find Maximum in Array - Easy #42,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 7 integers, find and print the maximum element.",Practice array manipulation: find maximum.,First line: n = 7. Second line: 7 space-separated integers.,Print the maximum value in the array.,"1 <= n <= 100
1 <= array elements <= 1000","6
61 64 15 77 60 49",77,"The maximum value in [61, 64, 15, 77, 60, 49] is 77. (problem P00042)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00043,Find Minimum in Array - Easy #43,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 8 integers, find and print the minimum element.",Practice array manipulation: find minimum.,First line: n = 8. Second line: 8 space-separated integers.,Print the minimum value in the array.,"1 <= n <= 100
1 <= array elements <= 1000","10
89 34 70 38 35 98 12 76 30 44",12,"The minimum value in [89, 34, 70, 38, 35, 98, 12, 76, 30, 44] is 12. (problem P00043)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00044,Sum of Array Elements - Easy #44,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 9 integers, calculate and print the total sum.",Practice array manipulation: calculate sum.,First line: n = 9. Second line: 9 space-separated integers.,Print the sum of all array elements.,"1 <= n <= 100
1 <= array elements <= 1000","11
13 10 11 99 41 65 82 12 65 9 22",429,Add all elements: 429. (problem P00044),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00045,Reverse an Array - Easy #45,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 10 integers, print the array in reverse order.",Practice array manipulation: reverse array.,First line: n = 10. Second line: 10 space-separated integers.,Print the reversed array separated by spaces.,"1 <= n <= 100
1 <= array elements <= 1000","5
20 73 29 16 11",11 16 29 73 20,Reverse the order of the elements. (problem P00045),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00046,Rotate Array by 2 - Easy #46,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 11 integers, rotate it by 2 positions to the right.",Practice array manipulation: rotate array.,First line: n = 11. Second line: 11 space-separated integers.,Print the rotated array separated by spaces.,"1 <= n <= 100
1 <= array elements <= 1000","10 8
29 50 68 79 56 35 74 61 83 50",68 79 56 35 74 61 83 50 29 50,Rotate the array right by 8. (problem P00046),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00047,Max Subarray Sum (Window 5) - Easy #47,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 12 integers, find the maximum sum of any subarray of size 5.",Practice array manipulation: find subarray.,First line: n = 12. Second line: 12 space-separated integers.,Print the maximum subarray sum.,"1 <= n <= 100
1 <= array elements <= 1000","8 4
76 65 81 7 4 11 26 13",229,Scan all subarrays of size 4. (problem P00047),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00048,Swap Elements in Array - Easy #48,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 5 integers, swap elements at indices 3 and 1 and print the result.",Practice array manipulation: two pointer approach.,First line: n = 5. Second line: 5 space-separated integers.,Print the array after swapping.,"1 <= n <= 100
1 <= array elements <= 1000","9
32 68 29 6 88 82 76 45 4",32 68 6 29 88 82 76 45 4,Swap values at indices 2 and 3. (problem P00048),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00049,Find Maximum in Array - Easy #49,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 6 integers, find and print the maximum element.",Practice array manipulation: find maximum.,First line: n = 6. Second line: 6 space-separated integers.,Print the maximum value in the array.,"1 <= n <= 100
1 <= array elements <= 1000","10
52 63 78 72 30 57 99 10 12 72",99,"The maximum value in [52, 63, 78, 72, 30, 57, 99, 10, 12, 72] is 99. (problem P00049)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00050,Find Minimum in Array - Easy #50,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 7 integers, find and print the minimum element.",Practice array manipulation: find minimum.,First line: n = 7. Second line: 7 space-separated integers.,Print the minimum value in the array.,"1 <= n <= 100
1 <= array elements <= 1000","8
67 11 80 93 93 33 94 42",11,"The minimum value in [67, 11, 80, 93, 93, 33, 94, 42] is 11. (problem P00050)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00051,Sum of Array Elements - Easy #51,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 8 integers, calculate and print the total sum.",Practice array manipulation: calculate sum.,First line: n = 8. Second line: 8 space-separated integers.,Print the sum of all array elements.,"1 <= n <= 100
1 <= array elements <= 1000","10
38 9 1 37 83 86 5 52 51 78",440,Add all elements: 440. (problem P00051),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00052,Reverse an Array - Easy #52,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 9 integers, print the array in reverse order.",Practice array manipulation: reverse array.,First line: n = 9. Second line: 9 space-separated integers.,Print the reversed array separated by spaces.,"1 <= n <= 100
1 <= array elements <= 1000","5
25 6 62 45 86",86 45 62 6 25,Reverse the order of the elements. (problem P00052),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00053,Rotate Array by 3 - Easy #53,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 10 integers, rotate it by 3 positions to the right.",Practice array manipulation: rotate array.,First line: n = 10. Second line: 10 space-separated integers.,Print the rotated array separated by spaces.,"1 <= n <= 100
1 <= array elements <= 1000","12 4
26 25 23 52 32 94 77 71 81 95 30 2",81 95 30 2 26 25 23 52 32 94 77 71,Rotate the array right by 4. (problem P00053),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00054,Max Subarray Sum (Window 4) - Easy #54,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 11 integers, find the maximum sum of any subarray of size 4.",Practice array manipulation: find subarray.,First line: n = 11. Second line: 11 space-separated integers.,Print the maximum subarray sum.,"1 <= n <= 100
1 <= array elements <= 1000","5 4
52 54 97 76 62",289,Scan all subarrays of size 4. (problem P00054),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00055,Swap Elements in Array - Easy #55,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 12 integers, swap elements at indices 7 and 2 and print the result.",Practice array manipulation: two pointer approach.,First line: n = 12. Second line: 12 space-separated integers.,Print the array after swapping.,"1 <= n <= 100
1 <= array elements <= 1000","12
25 89 8 58 9 69 98 74 56 23 83 53",25 89 8 53 9 69 98 74 56 23 83 58,Swap values at indices 3 and 11. (problem P00055),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00056,Find Maximum in Array - Easy #56,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 5 integers, find and print the maximum element.",Practice array manipulation: find maximum.,First line: n = 5. Second line: 5 space-separated integers.,Print the maximum value in the array.,"1 <= n <= 100
1 <= array elements <= 1000","6
10 54 3 21 81 44",81,"The maximum value in [10, 54, 3, 21, 81, 44] is 81. (problem P00056)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00057,Find Minimum in Array - Easy #57,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 6 integers, find and print the minimum element.",Practice array manipulation: find minimum.,First line: n = 6. Second line: 6 space-separated integers.,Print the minimum value in the array.,"1 <= n <= 100
1 <= array elements <= 1000","5
88 80 96 16 2",2,"The minimum value in [88, 80, 96, 16, 2] is 2. (problem P00057)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00058,Sum of Array Elements - Easy #58,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 7 integers, calculate and print the total sum.",Practice array manipulation: calculate sum.,First line: n = 7. Second line: 7 space-separated integers.,Print the sum of all array elements.,"1 <= n <= 100
1 <= array elements <= 1000","11
36 78 42 42 51 95 96 28 61 51 6",586,Add all elements: 586. (problem P00058),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00059,Reverse an Array - Easy #59,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 8 integers, print the array in reverse order.",Practice array manipulation: reverse array.,First line: n = 8. Second line: 8 space-separated integers.,Print the reversed array separated by spaces.,"1 <= n <= 100
1 <= array elements <= 1000","6
22 95 30 96 26 6",6 26 96 30 95 22,Reverse the order of the elements. (problem P00059),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
