id,problem_id,input_data,expected_output,is_sample,explanation
P00014_TC1,P00014,"""11
72 43 74 64 63 53 66 45 21 22 6""",74,True,"""The maximum value in [72, 43, 74, 64, 63, 53, 66, 45, 21, 22, 6] is 74. (problem P00014)"""
P00014_TC2,P00014,34 7 41 5 40 13 46 37,223,False,Additional variant testcase for P00014.
P00014_TC3,P00014,27 8 35 20 50 21 1 34 28,50,False,Additional variant testcase for P00014.
P00015_TC1,P00015,"""5
58 89 75 40 17""",17,True,"""The minimum value in [58, 89, 75, 40, 17] is 17. (problem P00015)"""
P00015_TC2,P00015,15 19 6 44 45 38 35 1,203,False,Additional variant testcase for P00015.
P00015_TC3,P00015,10 1 42 13 3 48 32 40 18,48,False,Additional variant testcase for P00015.
P00016_TC1,P00016,"""10
78 30 65 20 40 13 89 54 1 90""",480,True,Add all elements: 480. (problem P00016)
P00016_TC2,P00016,39 14 6 50 39 34 30 23,235,False,Additional variant testcase for P00016.
P00016_TC3,P00016,7 4 28 15 35 10 11 9 22,35,False,Additional variant testcase for P00016.
P00017_TC1,P00017,"""12
80 32 86 85 74 72 91 72 83 54 17 82""",82 17 54 83 72 91 72 74 85 86 32 80,True,Reverse the order of the elements. (problem P00017)
P00017_TC2,P00017,42 5 1 28 16 28 37 19,176,False,Additional variant testcase for P00017.
P00017_TC3,P00017,9 28 2 38 17 6 38 39 7,39,False,Additional variant testcase for P00017.
P00018_TC1,P00018,"""6 4
95 42 14 67 94 34""",14 67 94 34 95 42,True,Rotate the array right by 4. (problem P00018)
P00018_TC2,P00018,43 29 12 27 32 40 41 12,236,False,Additional variant testcase for P00018.
P00018_TC3,P00018,40 1 12 47 4 21 11 37 19,47,False,Additional variant testcase for P00018.
P00019_TC1,P00019,"""7 5
54 7 73 83 31 13 39""",248,True,Scan all subarrays of size 5. (problem P00019)
P00019_TC2,P00019,15 23 41 12 27 26 14 18,176,False,Additional variant testcase for P00019.
P00019_TC3,P00019,29 4 38 5 3 3 35 1 48,48,False,Additional variant testcase for P00019.
P00020_TC1,P00020,"""11
82 43 53 39 26 99 16 64 23 35 81""",82 43 53 39 26 64 16 99 23 35 81,True,Swap values at indices 5 and 7. (problem P00020)
P00020_TC2,P00020,36 4 1 16 5 24 1 33,120,False,Additional variant testcase for P00020.
P00020_TC3,P00020,21 46 44 18 41 1 31 40 21,46,False,Additional variant testcase for P00020.
P00021_TC1,P00021,"""8
61 18 54 7 52 58 5 15""",61,True,"""The maximum value in [61, 18, 54, 7, 52, 58, 5, 15] is 61. (problem P00021)"""
P00021_TC2,P00021,46 38 31 19 15 24 8 50,231,False,Additional variant testcase for P00021.
P00021_TC3,P00021,48 14 44 5 49 50 2 32 6,50,False,Additional variant testcase for P00021.
P00022_TC1,P00022,"""9
64 67 49 95 67 88 82 46 96""",46,True,"""The minimum value in [64, 67, 49, 95, 67, 88, 82, 46, 96] is 46. (problem P00022)"""
P00022_TC2,P00022,10 27 16 9 10 19 48 6,145,False,Additional variant testcase for P00022.
P00022_TC3,P00022,12 3 43 20 13 38 17 50 20,50,False,Additional variant testcase for P00022.
P00023_TC1,P00023,"""9
14 88 75 53 74 56 77 2 16""",455,True,Add all elements: 455. (problem P00023)
P00023_TC2,P00023,47 38 44 35 39 16 3 5,227,False,Additional variant testcase for P00023.
P00023_TC3,P00023,32 45 29 9 37 28 29 19 5,45,False,Additional variant testcase for P00023.
P00024_TC1,P00024,"""10
28 49 35 93 46 53 46 95 86 83""",83 86 95 46 53 46 93 35 49 28,True,Reverse the order of the elements. (problem P00024)
P00024_TC2,P00024,42 38 21 47 42 28 45 5,268,False,Additional variant testcase for P00024.
P00024_TC3,P00024,18 32 11 46 6 26 26 5 30,46,False,Additional variant testcase for P00024.
P00025_TC1,P00025,"""8 4
56 70 59 44 12 15 23 71""",12 15 23 71 56 70 59 44,True,Rotate the array right by 4. (problem P00025)
P00025_TC2,P00025,7 15 40 14 29 30 30 34,199,False,Additional variant testcase for P00025.
P00025_TC3,P00025,22 19 25 1 46 22 9 20 37,46,False,Additional variant testcase for P00025.
P00026_TC1,P00026,"""10 2
66 52 88 69 84 3 29 9 50 73""",157,True,Scan all subarrays of size 2. (problem P00026)
P00026_TC2,P00026,16 13 42 10 31 47 12 47,218,False,Additional variant testcase for P00026.
P00026_TC3,P00026,9 23 16 50 21 14 22 18 42,50,False,Additional variant testcase for P00026.
P00027_TC1,P00027,"""9
73 99 33 5 18 26 94 96 63""",73 63 33 5 18 26 94 96 99,True,Swap values at indices 1 and 8. (problem P00027)
P00027_TC2,P00027,30 30 19 24 36 6 8 28,181,False,Additional variant testcase for P00027.
P00027_TC3,P00027,34 24 21 2 28 6 16 18 27,34,False,Additional variant testcase for P00027.
P00028_TC1,P00028,"""8
70 15 45 91 39 72 95 30""",95,True,"""The maximum value in [70, 15, 45, 91, 39, 72, 95, 30] is 95. (problem P00028)"""
P00028_TC2,P00028,32 45 5 47 48 22 9 50,258,False,Additional variant testcase for P00028.
P00028_TC3,P00028,2 42 50 3 38 50 30 35 47,50,False,Additional variant testcase for P00028.
P00029_TC1,P00029,"""7
36 24 57 14 9 75 22""",9,True,"""The minimum value in [36, 24, 57, 14, 9, 75, 22] is 9. (problem P00029)"""
P00029_TC2,P00029,30 48 34 20 22 15 25 31,225,False,Additional variant testcase for P00029.
P00029_TC3,P00029,15 34 28 40 35 20 14 44 32,44,False,Additional variant testcase for P00029.
P00030_TC1,P00030,"""9
91 65 56 26 22 94 14 3 50""",421,True,Add all elements: 421. (problem P00030)
P00030_TC2,P00030,23 43 13 32 29 41 10 41,232,False,Additional variant testcase for P00030.
P00030_TC3,P00030,41 17 41 39 47 34 12 15 42,47,False,Additional variant testcase for P00030.
P00031_TC1,P00031,"""12
35 97 78 8 81 20 69 14 74 51 88 19""",19 88 51 74 14 69 20 81 8 78 97 35,True,Reverse the order of the elements. (problem P00031)
P00031_TC2,P00031,3 9 15 33 31 20 33 38,182,False,Additional variant testcase for P00031.
P00031_TC3,P00031,31 16 28 4 45 10 29 1 8,45,False,Additional variant testcase for P00031.
P00032_TC1,P00032,"""7 3
8 15 89 94 53 93 28""",53 93 28 8 15 89 94,True,Rotate the array right by 3. (problem P00032)
P00032_TC2,P00032,42 7 13 24 50 10 45 32,223,False,Additional variant testcase for P00032.
P00032_TC3,P00032,2 44 12 44 33 32 49 10 50,50,False,Additional variant testcase for P00032.
P00033_TC1,P00033,"""11 2
12 59 54 34 75 58 25 18 61 61 77""",138,True,Scan all subarrays of size 2. (problem P00033)
P00033_TC2,P00033,38 6 13 42 38 22 34 14,207,False,Additional variant testcase for P00033.
P00033_TC3,P00033,28 50 33 29 29 41 35 10 11,50,False,Additional variant testcase for P00033.
P00034_TC1,P00034,"""9
48 9 61 1 71 4 2 87 52""",48 9 61 1 71 4 2 52 87,True,Swap values at indices 7 and 8. (problem P00034)
P00034_TC2,P00034,5 41 33 29 36 48 34 43,269,False,Additional variant testcase for P00034.
P00034_TC3,P00034,15 35 10 33 10 16 6 30 42,42,False,Additional variant testcase for P00034.
P00035_TC1,P00035,"""10
82 37 61 15 42 10 80 79 96 53""",96,True,"""The maximum value in [82, 37, 61, 15, 42, 10, 80, 79, 96, 53] is 96. (problem P00035)"""
P00035_TC2,P00035,33 9 41 18 18 2 48 44,213,False,Additional variant testcase for P00035.
P00035_TC3,P00035,6 36 8 13 22 46 45 50 36,50,False,Additional variant testcase for P00035.
P00036_TC1,P00036,"""10
80 57 68 93 95 21 68 58 3 70""",3,True,"""The minimum value in [80, 57, 68, 93, 95, 21, 68, 58, 3, 70] is 3. (problem P00036)"""
P00036_TC2,P00036,1 7 20 33 27 34 46 27,195,False,Additional variant testcase for P00036.
P00036_TC3,P00036,31 30 23 47 46 32 28 27 13,47,False,Additional variant testcase for P00036.
P00037_TC1,P00037,"""7
23 66 48 98 14 30 9""",288,True,Add all elements: 288. (problem P00037)
P00037_TC2,P00037,20 27 42 30 49 17 42 8,235,False,Additional variant testcase for P00037.
P00037_TC3,P00037,22 43 38 3 23 19 21 11 34,43,False,Additional variant testcase for P00037.
P00038_TC1,P00038,"""9
85 95 12 59 62 85 77 42 99""",99 42 77 85 62 59 12 95 85,True,Reverse the order of the elements. (problem P00038)
P00038_TC2,P00038,13 19 7 3 22 24 10 37,135,False,Additional variant testcase for P00038.
P00038_TC3,P00038,8 39 13 29 8 8 25 50 49,50,False,Additional variant testcase for P00038.
P00039_TC1,P00039,"""9 5
12 27 89 24 11 30 5 49 22""",11 30 5 49 22 12 27 89 24,True,Rotate the array right by 5. (problem P00039)
P00039_TC2,P00039,43 13 14 22 42 48 32 7,221,False,Additional variant testcase for P00039.
P00039_TC3,P00039,24 28 35 39 22 2 47 27 5,47,False,Additional variant testcase for P00039.
P00040_TC1,P00040,"""6 4
38 25 49 7 55 57""",168,True,Scan all subarrays of size 4. (problem P00040)
P00040_TC2,P00040,50 32 35 27 25 35 9 22,235,False,Additional variant testcase for P00040.
P00040_TC3,P00040,31 15 11 22 39 24 22 40 33,40,False,Additional variant testcase for P00040.
P00041_TC1,P00041,"""6
65 26 75 5 72 62""",65 72 75 5 26 62,True,Swap values at indices 1 and 4. (problem P00041)
P00041_TC2,P00041,8 45 4 45 31 28 1 37,199,False,Additional variant testcase for P00041.
P00041_TC3,P00041,4 6 43 15 21 45 5 47 16,47,False,Additional variant testcase for P00041.
P00042_TC1,P00042,"""6
61 64 15 77 60 49""",77,True,"""The maximum value in [61, 64, 15, 77, 60, 49] is 77. (problem P00042)"""
P00042_TC2,P00042,43 38 46 5 32 34 6 45,249,False,Additional variant testcase for P00042.
P00042_TC3,P00042,21 35 31 38 8 2 9 22 1,38,False,Additional variant testcase for P00042.
P00043_TC1,P00043,"""10
89 34 70 38 35 98 12 76 30 44""",12,True,"""The minimum value in [89, 34, 70, 38, 35, 98, 12, 76, 30, 44] is 12. (problem P00043)"""
P00043_TC2,P00043,22 50 27 49 4 38 34 11,235,False,Additional variant testcase for P00043.
P00043_TC3,P00043,36 10 27 2 17 25 30 4 42,42,False,Additional variant testcase for P00043.
P00044_TC1,P00044,"""11
13 10 11 99 41 65 82 12 65 9 22""",429,True,Add all elements: 429. (problem P00044)
P00044_TC2,P00044,27 7 29 25 42 1 32 8,171,False,Additional variant testcase for P00044.
P00044_TC3,P00044,19 46 24 34 27 20 5 8 27,46,False,Additional variant testcase for P00044.
P00045_TC1,P00045,"""5
20 73 29 16 11""",11 16 29 73 20,True,Reverse the order of the elements. (problem P00045)
P00045_TC2,P00045,24 34 12 8 12 43 36 21,190,False,Additional variant testcase for P00045.
P00045_TC3,P00045,37 48 39 49 11 31 41 46 21,49,False,Additional variant testcase for P00045.
P00046_TC1,P00046,"""10 8
29 50 68 79 56 35 74 61 83 50""",68 79 56 35 74 61 83 50 29 50,True,Rotate the array right by 8. (problem P00046)
P00046_TC2,P00046,42 20 18 3 43 44 15 32,217,False,Additional variant testcase for P00046.
P00046_TC3,P00046,42 21 33 44 38 12 34 44 25,44,False,Additional variant testcase for P00046.
P00047_TC1,P00047,"""8 4
76 65 81 7 4 11 26 13""",229,True,Scan all subarrays of size 4. (problem P00047)
P00047_TC2,P00047,32 41 9 34 17 44 32 32,241,False,Additional variant testcase for P00047.
P00047_TC3,P00047,16 18 25 43 19 27 41 10 8,43,False,Additional variant testcase for P00047.
P00048_TC1,P00048,"""9
32 68 29 6 88 82 76 45 4""",32 68 6 29 88 82 76 45 4,True,Swap values at indices 2 and 3. (problem P00048)
P00048_TC2,P00048,2 34 22 31 49 32 49 39,258,False,Additional variant testcase for P00048.
P00048_TC3,P00048,26 30 25 40 48 20 11 11 20,48,False,Additional variant testcase for P00048.
P00049_TC1,P00049,"""10
52 63 78 72 30 57 99 10 12 72""",99,True,"""The maximum value in [52, 63, 78, 72, 30, 57, 99, 10, 12, 72] is 99. (problem P00049)"""
P00049_TC2,P00049,36 14 10 33 33 22 2 1,151,False,Additional variant testcase for P00049.
P00049_TC3,P00049,22 31 10 35 16 9 22 30 5,35,False,Additional variant testcase for P00049.
P00050_TC1,P00050,"""8
67 11 80 93 93 33 94 42""",11,True,"""The minimum value in [67, 11, 80, 93, 93, 33, 94, 42] is 11. (problem P00050)"""
P00050_TC2,P00050,49 3 23 21 30 4 20 11,161,False,Additional variant testcase for P00050.
P00050_TC3,P00050,42 34 18 34 40 6 15 33 48,48,False,Additional variant testcase for P00050.
P00051_TC1,P00051,"""10
38 9 1 37 83 86 5 52 51 78""",440,True,Add all elements: 440. (problem P00051)
P00051_TC2,P00051,3 15 15 4 18 20 25 26,126,False,Additional variant testcase for P00051.
P00051_TC3,P00051,34 11 50 15 17 31 38 45 50,50,False,Additional variant testcase for P00051.
P00052_TC1,P00052,"""5
25 6 62 45 86""",86 45 62 6 25,True,Reverse the order of the elements. (problem P00052)
P00052_TC2,P00052,17 26 31 3 44 24 36 5,186,False,Additional variant testcase for P00052.
P00052_TC3,P00052,34 43 32 4 3 7 30 8 23,43,False,Additional variant testcase for P00052.
P00053_TC1,P00053,"""12 4
26 25 23 52 32 94 77 71 81 95 30 2""",81 95 30 2 26 25 23 52 32 94 77 71,True,Rotate the array right by 4. (problem P00053)
P00053_TC2,P00053,15 10 49 39 50 9 1 11,184,False,Additional variant testcase for P00053.
P00053_TC3,P00053,45 17 48 8 50 48 20 26 14,50,False,Additional variant testcase for P00053.
P00054_TC1,P00054,"""5 4
52 54 97 76 62""",289,True,Scan all subarrays of size 4. (problem P00054)
P00054_TC2,P00054,40 43 30 7 35 27 21 9,212,False,Additional variant testcase for P00054.
P00054_TC3,P00054,33 25 1 21 9 28 19 3 30,33,False,Additional variant testcase for P00054.
P00055_TC1,P00055,"""12
25 89 8 58 9 69 98 74 56 23 83 53""",25 89 8 53 9 69 98 74 56 23 83 58,True,Swap values at indices 3 and 11. (problem P00055)
P00055_TC2,P00055,9 48 42 36 37 42 16 30,260,False,Additional variant testcase for P00055.
P00055_TC3,P00055,23 1 1 49 14 10 6 29 27,49,False,Additional variant testcase for P00055.
P00056_TC1,P00056,"""6
10 54 3 21 81 44""",81,True,"""The maximum value in [10, 54, 3, 21, 81, 44] is 81. (problem P00056)"""
P00056_TC2,P00056,30 5 48 37 28 4 33 30,215,False,Additional variant testcase for P00056.
P00056_TC3,P00056,44 2 34 35 44 16 44 6 43,44,False,Additional variant testcase for P00056.
P00057_TC1,P00057,"""5
88 80 96 16 2""",2,True,"""The minimum value in [88, 80, 96, 16, 2] is 2. (problem P00057)"""
P00057_TC2,P00057,2 28 9 26 29 41 49 23,207,False,Additional variant testcase for P00057.
P00057_TC3,P00057,3 12 16 26 23 11 21 43 16,43,False,Additional variant testcase for P00057.
P00058_TC1,P00058,"""11
36 78 42 42 51 95 96 28 61 51 6""",586,True,Add all elements: 586. (problem P00058)
P00058_TC2,P00058,41 7 23 13 18 18 50 10,180,False,Additional variant testcase for P00058.
P00058_TC3,P00058,9 48 22 50 25 12 36 31 1,50,False,Additional variant testcase for P00058.
P00059_TC1,P00059,"""6
22 95 30 96 26 6""",6 26 96 30 95 22,True,Reverse the order of the elements. (problem P00059)
P00059_TC2,P00059,41 35 36 11 28 2 25 10,188,False,Additional variant testcase for P00059.
P00059_TC3,P00059,48 20 1 6 44 29 25 27 10,48,False,Additional variant testcase for P00059.
P00060_TC1,P00060,"""9 2
76 27 70 58 65 10 89 88 24""",88 24 76 27 70 58 65 10 89,True,Rotate the array right by 2. (problem P00060)
P00060_TC2,P00060,8 11 42 13 11 33 3 20,141,False,Additional variant testcase for P00060.
P00060_TC3,P00060,29 11 3 7 17 45 14 18 24,45,False,Additional variant testcase for P00060.
P00061_TC1,P00061,"""7 3
32 20 86 60 46 71 11""",192,True,Scan all subarrays of size 3. (problem P00061)
P00061_TC2,P00061,12 15 15 29 9 50 47 13,190,False,Additional variant testcase for P00061.
P00061_TC3,P00061,34 28 39 32 4 19 48 15 18,48,False,Additional variant testcase for P00061.
P00062_TC1,P00062,"""12
94 99 28 49 26 74 14 99 50 85 69 27""",50 99 28 49 26 74 14 99 94 85 69 27,True,Swap values at indices 0 and 8. (problem P00062)
P00062_TC2,P00062,26 50 40 18 15 28 39 19,235,False,Additional variant testcase for P00062.
P00062_TC3,P00062,33 35 49 45 40 14 24 38 38,49,False,Additional variant testcase for P00062.
P00063_TC1,P00063,"""11
16 68 23 16 87 73 70 46 16 9 36""",87,True,"""The maximum value in [16, 68, 23, 16, 87, 73, 70, 46, 16, 9, 36] is 87. (problem P00063)"""
P00063_TC2,P00063,45 31 44 39 36 13 4 43,255,False,Additional variant testcase for P00063.
P00063_TC3,P00063,16 46 31 28 12 50 27 35 21,50,False,Additional variant testcase for P00063.
P00064_TC1,P00064,"""8
80 47 61 70 2 18 49 9""",2,True,"""The minimum value in [80, 47, 61, 70, 2, 18, 49, 9] is 2. (problem P00064)"""
P00064_TC2,P00064,13 22 3 44 9 35 10 30,166,False,Additional variant testcase for P00064.
P00064_TC3,P00064,23 31 8 30 41 47 13 32 47,47,False,Additional variant testcase for P00064.
P00065_TC1,P00065,"""9
49 12 19 12 48 61 21 20 33""",275,True,Add all elements: 275. (problem P00065)
P00065_TC2,P00065,2 32 13 1 50 7 14 50,169,False,Additional variant testcase for P00065.
P00065_TC3,P00065,48 49 41 6 20 17 4 25 27,49,False,Additional variant testcase for P00065.
P00066_TC1,P00066,"""11
50 28 46 65 42 28 49 13 49 65 11""",11 65 49 13 49 28 42 65 46 28 50,True,Reverse the order of the elements. (problem P00066)
P00066_TC2,P00066,21 14 19 3 41 17 40 21,176,False,Additional variant testcase for P00066.
P00066_TC3,P00066,26 26 41 48 29 1 17 24 16,48,False,Additional variant testcase for P00066.
P00067_TC1,P00067,"""11 3
71 46 4 20 81 52 25 96 43 21 53""",43 21 53 71 46 4 20 81 52 25 96,True,Rotate the array right by 3. (problem P00067)
P00067_TC2,P00067,3 17 40 5 25 45 30 32,197,False,Additional variant testcase for P00067.
P00067_TC3,P00067,41 25 48 19 21 5 26 47 45,48,False,Additional variant testcase for P00067.
P00068_TC1,P00068,"""5 4
39 2 51 90 24""",182,True,Scan all subarrays of size 4. (problem P00068)
P00068_TC2,P00068,3 30 6 3 26 43 17 48,176,False,Additional variant testcase for P00068.
P00068_TC3,P00068,8 31 16 31 33 39 12 46 10,46,False,Additional variant testcase for P00068.
P00069_TC1,P00069,"""9
63 24 28 16 46 72 88 93 88""",63 24 28 16 72 46 88 93 88,True,Swap values at indices 4 and 5. (problem P00069)
P00069_TC2,P00069,6 42 11 14 21 43 47 5,189,False,Additional variant testcase for P00069.
P00069_TC3,P00069,4 29 15 20 17 34 12 25 15,34,False,Additional variant testcase for P00069.
P00070_TC1,P00070,"""5
13 83 81 89 85""",89,True,"""The maximum value in [13, 83, 81, 89, 85] is 89. (problem P00070)"""
P00070_TC2,P00070,39 21 3 2 1 18 50 50,184,False,Additional variant testcase for P00070.
P00070_TC3,P00070,50 26 22 9 21 11 38 47 12,50,False,Additional variant testcase for P00070.
P00071_TC1,P00071,"""6
77 50 12 35 29 48""",12,True,"""The minimum value in [77, 50, 12, 35, 29, 48] is 12. (problem P00071)"""
P00071_TC2,P00071,21 20 4 31 38 20 29 29,192,False,Additional variant testcase for P00071.
P00071_TC3,P00071,41 44 33 19 1 19 20 38 9,44,False,Additional variant testcase for P00071.
P00072_TC1,P00072,"""8
95 78 76 72 15 15 32 91""",474,True,Add all elements: 474. (problem P00072)
P00072_TC2,P00072,7 3 23 19 27 22 31 26,158,False,Additional variant testcase for P00072.
P00072_TC3,P00072,47 9 7 41 49 9 14 42 31,49,False,Additional variant testcase for P00072.
P00073_TC1,P00073,"""11
91 26 52 36 16 7 2 32 52 68 28""",28 68 52 32 2 7 16 36 52 26 91,True,Reverse the order of the elements. (problem P00073)
P00073_TC2,P00073,10 40 45 48 48 5 24 26,246,False,Additional variant testcase for P00073.
P00073_TC3,P00073,14 1 5 14 2 26 3 3 40,40,False,Additional variant testcase for P00073.
P00074_TC1,P00074,"""9 2
61 12 60 12 72 53 48 90 7""",90 7 61 12 60 12 72 53 48,True,Rotate the array right by 2. (problem P00074)
P00074_TC2,P00074,10 42 43 3 24 4 2 8,136,False,Additional variant testcase for P00074.
P00074_TC3,P00074,7 9 24 21 44 50 44 49 4,50,False,Additional variant testcase for P00074.
P00075_TC1,P00075,"""10 3
93 23 7 36 77 18 83 73 17 73""",178,True,Scan all subarrays of size 3. (problem P00075)
P00075_TC2,P00075,18 37 40 43 22 19 40 5,224,False,Additional variant testcase for P00075.
P00075_TC3,P00075,37 23 45 48 43 23 8 41 39,48,False,Additional variant testcase for P00075.
P00076_TC1,P00076,"""9
90 65 14 60 40 74 68 83 89""",90 65 14 60 40 74 83 68 89,True,Swap values at indices 6 and 7. (problem P00076)
P00076_TC2,P00076,32 12 50 9 45 28 43 30,249,False,Additional variant testcase for P00076.
P00076_TC3,P00076,11 2 9 36 4 32 43 9 49,49,False,Additional variant testcase for P00076.
P00077_TC1,P00077,"""6
66 43 8 96 88 93""",96,True,"""The maximum value in [66, 43, 8, 96, 88, 93] is 96. (problem P00077)"""
P00077_TC2,P00077,11 2 3 48 49 15 35 38,201,False,Additional variant testcase for P00077.
P00077_TC3,P00077,40 34 30 18 18 8 1 37 47,47,False,Additional variant testcase for P00077.
P00078_TC1,P00078,"""7
68 27 63 96 52 83 90""",27,True,"""The minimum value in [68, 27, 63, 96, 52, 83, 90] is 27. (problem P00078)"""
P00078_TC2,P00078,12 29 23 8 31 33 48 14,198,False,Additional variant testcase for P00078.
P00078_TC3,P00078,3 39 39 25 50 26 6 39 10,50,False,Additional variant testcase for P00078.
P00079_TC1,P00079,"""7
78 55 90 8 56 85 57""",429,True,Add all elements: 429. (problem P00079)
P00079_TC2,P00079,37 9 24 32 11 20 32 27,192,False,Additional variant testcase for P00079.
P00079_TC3,P00079,38 18 41 43 28 33 36 36 45,45,False,Additional variant testcase for P00079.
P00080_TC1,P00080,"""11
88 75 72 27 43 4 67 27 16 35 90""",90 35 16 27 67 4 43 27 72 75 88,True,Reverse the order of the elements. (problem P00080)
P00080_TC2,P00080,6 48 45 1 43 48 35 23,249,False,Additional variant testcase for P00080.
P00080_TC3,P00080,50 1 44 2 13 4 10 42 8,50,False,Additional variant testcase for P00080.
P00081_TC1,P00081,"""5 3
88 26 87 82 67""",87 82 67 88 26,True,Rotate the array right by 3. (problem P00081)
P00081_TC2,P00081,41 10 46 10 37 20 8 30,202,False,Additional variant testcase for P00081.
P00081_TC3,P00081,19 9 46 20 6 35 44 31 24,46,False,Additional variant testcase for P00081.
P00082_TC1,P00082,"""9 3
23 46 17 30 35 37 54 97 94""",245,True,Scan all subarrays of size 3. (problem P00082)
P00082_TC2,P00082,50 12 35 40 44 3 48 23,255,False,Additional variant testcase for P00082.
P00082_TC3,P00082,31 23 25 36 45 3 33 20 41,45,False,Additional variant testcase for P00082.
P00083_TC1,P00083,"""11
70 56 41 87 6 42 61 14 25 36 98""",70 56 41 87 6 61 42 14 25 36 98,True,Swap values at indices 5 and 6. (problem P00083)
P00083_TC2,P00083,12 33 40 48 40 50 8 4,235,False,Additional variant testcase for P00083.
P00083_TC3,P00083,11 42 5 17 48 4 13 32 39,48,False,Additional variant testcase for P00083.
P00084_TC1,P00084,"""6
30 64 78 63 22 55""",78,True,"""The maximum value in [30, 64, 78, 63, 22, 55] is 78. (problem P00084)"""
P00084_TC2,P00084,33 22 35 1 45 14 37 29,216,False,Additional variant testcase for P00084.
